City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,chonchi,-42.6128,-73.8092,281.55,97,100,1.12,CL,1690416044
138,trincomalee,8.5711,81.2335,299.39,78,94,4.22,LK,1690416044
139,aksu,41.1231,80.2644,300.28,36,27,2.05,CN,1690416045
140,adrar,20.5022,-10.0711,310.02,9,20,9.73,MR,1690416045
141,ulsteinvik,62.3432,5.8487,287.77,91,91,1.34,NO,1690415973
142,constantia,44.1833,28.65,295.76,72,35,7.03,RO,1690416046
143,holualoa,19.6228,-155.9522,301.79,83,26,3.58,US,1690416020
144,olonkinbyen,70.9221,-8.7187,277.73,90,100,5.54,SJ,1690416047
145,medicine hat,50.0501,-110.6683,301.39,18,20,6.69,CA,1690416002
146,tulun,54.5611,100.5792,289.37,90,94,2.26,RU,1690416048
147,maffra,-37.9667,146.9833,287.93,35,3,1.75,AU,1690416049
148,puerto colombia,10.9878,-74.9547,302.2,86,100,3.74,CO,1690416049
149,sang-e charak,35.8497,66.4369,296.63,16,8,3.91,AF,1690416049
150,ust-nera,64.5667,143.2,287.58,56,85,3.91,RU,1690416050
151,rio grande,-32.035,-52.0986,288.21,87,74,4.52,BR,1690416050
152,salalah,17.0151,54.0924,298.44,96,100,10.04,OM,1690416051
153,badger,64.8,-147.5333,301.48,54,75,2.57,US,1690416051
154,fereydun kenar,36.6864,52.5225,298.76,78,40,2.2,IR,1690416052
155,nova sintra,14.8667,-24.7167,296.22,84,64,7.07,CV,1690416052
156,burley,42.5357,-113.7928,307.15,19,3,0.45,US,1690416053
157,levuka,50.1834,-105.4011,302.0,17,20,7.2,CA,1690416054
158,luau,-10.7073,22.2247,289.85,37,1,2.06,AO,1690416054
159,belomorsk,64.5232,34.7668,282.19,97,14,0.8,RU,1690416055
160,umm kaddadah,13.6017,26.6876,301.29,55,98,6.71,SD,1690416055
161,papao,-17.75,-149.55,297.97,87,61,3.85,PF,1690415955
162,vernon,50.2581,-119.2691,299.98,27,94,1.34,CA,1690416042
163,bagan,54.1001,77.6646,292.73,53,100,2.95,RU,1690416057
164,qaqortoq,60.7167,-46.0333,279.82,84,95,1.68,GL,1690415953
165,greymouth,-42.4667,171.2,283.61,61,84,14.81,NZ,1690416062
166,hualien city,23.9769,121.6044,300.09,100,100,2.99,TW,1690416062
167,labytnangi,66.6572,66.4183,289.31,89,100,5.15,RU,1690416073
168,carlsbad,33.1581,-117.3506,314.1,63,0,6.69,US,1690415955
169,sinabang,2.4803,96.3801,299.63,82,97,1.09,ID,1690416074
170,tolanaro,-25.0319,46.9987,292.19,77,40,5.14,MG,1690415967
171,lagoa,39.05,-27.9833,295.34,92,38,7.15,PT,1690416081
172,suva,-18.1416,178.4415,293.86,94,100,3.09,FJ,1690416084
173,ryotsu-minato,38.0833,138.4333,301.97,68,16,1.31,JP,1690416085
174,alofi,-19.0595,-169.9187,298.09,57,75,1.03,NU,1690416085
175,tonj,7.2737,28.6822,294.41,98,100,1.77,SS,1690416036
176,totness,5.8833,-56.3167,299.24,87,22,3.82,SR,1690416086
177,yuzhno-kurilsk,44.0306,145.8556,294.5,82,92,2.28,RU,1690415980
178,holmsund,63.706,20.3641,285.9,93,75,1.54,SE,1690416087
179,lagunas,-5.2269,-75.6753,301.08,60,69,1.04,PE,1690416088
180,carutapera,-1.195,-46.02,298.13,86,8,3.02,BR,1690416088
181,kuqa,41.7278,82.9364,301.51,28,0,1.43,CN,1690416089
182,vadso,70.0744,29.7487,283.24,93,100,0.0,NO,1690416089
183,czaplinek,53.5578,16.2333,284.01,94,25,2.58,PL,1690416090
184,puerto baquerizo moreno,-0.9,-89.6,297.44,80,80,6.25,EC,1690416036
185,kropachevo,55.0112,57.9896,287.1,91,45,1.98,RU,1690416091
186,jolo,6.05,121.0167,300.57,83,100,5.23,PH,1690416091
187,sheksna,59.21,38.5107,289.13,98,92,2.41,RU,1690416092
188,chibougamau,49.9168,-74.3659,295.94,49,75,3.32,CA,1690416092
189,motueka,-41.1333,173.0167,286.54,54,42,5.19,NZ,1690416093
190,sandnessjoen,66.0217,12.6316,286.44,89,72,2.45,NO,1690416093
191,kattivakkam,13.2167,80.3167,301.2,78,100,8.48,IN,1690416094
192,chimoio,-19.1164,33.4833,284.93,95,17,0.59,MZ,1690416094
193,gamba,-2.65,10.0,293.62,96,70,1.71,GA,1690416042
194,pauini,-7.7136,-66.9764,299.36,51,8,0.98,BR,1690416095
195,senigallia,43.7093,13.2167,297.02,57,75,10.29,IT,1690416095
196,kyren,51.6828,102.1408,289.25,84,30,0.74,RU,1690416096
197,samarinda,-0.5,117.15,298.41,83,98,2.25,ID,1690415905
198,nyurba,63.2842,118.3319,289.33,57,97,3.02,RU,1690416097
199,al majaridah,19.1236,41.9111,305.45,36,6,1.37,SA,1690416098
200,byron bay,-28.65,153.6167,289.66,53,74,2.14,AU,1690415604
201,arraial do cabo,-22.9661,-42.0278,294.38,86,58,9.83,BR,1690415991
202,vilyuchinsk,52.9306,158.4028,296.3,75,100,2.09,RU,1690415976
203,guatrache,-37.6678,-63.5302,278.81,46,54,2.27,AR,1690416100
204,sitka,57.0531,-135.33,288.03,91,100,1.16,US,1690416100
205,monrovia,6.3005,-10.7969,298.02,90,64,1.81,LR,1690415882
206,sitangkai,4.6628,119.3928,301.46,79,99,8.64,PH,1690416101
207,camacupa,-12.0167,17.4833,288.76,40,0,1.38,AO,1690416102
208,freetown,8.484,-13.2299,299.99,89,75,3.09,SL,1690416102
209,talnakh,69.4865,88.3972,295.49,61,50,2.4,RU,1690416103
210,alamos,27.0167,-108.9333,307.07,49,80,3.59,MX,1690416104
211,kyshtovka,56.555,76.6271,289.3,79,100,0.43,RU,1690416104
212,diego de almagro,-26.3667,-70.05,286.65,67,39,1.48,CL,1690416105
213,costa rica,-23.4167,-54.65,295.44,48,96,2.18,BR,1690416105
214,fandrandava,-21.5208,47.2453,281.35,89,83,1.31,MG,1690416106
215,mount isa,-20.7333,139.5,294.02,64,40,5.14,AU,1690416079
216,codrington,-38.2667,141.9667,284.26,71,4,7.04,AU,1690416107
217,amos,48.5669,-78.1162,291.05,97,100,4.79,CA,1690416015
218,toledo,39.8333,-4.0,297.38,27,0,2.52,ES,1690415958
219,khovd,48.0056,91.6419,294.16,35,70,1.08,MN,1690416108
220,howrah,22.5892,88.3103,300.15,94,40,2.57,IN,1690416109
221,whakatane,-37.9585,176.9854,284.14,73,65,1.67,NZ,1690416109
222,castillos,-34.1667,-53.8333,283.25,79,38,6.57,UY,1690416109
223,fale old settlement,-9.3852,-171.2468,301.66,73,14,8.3,TK,1690416110
224,grand-lahou,5.1367,-5.0242,297.01,95,55,2.56,CI,1690416110
225,aral,40.5156,81.2636,300.94,31,0,0.86,CN,1690416111
226,simcoe,42.8334,-80.2997,294.33,90,88,3.94,CA,1690416018
227,bahir dar,11.5936,37.3908,288.84,94,96,1.36,ET,1690416112
228,kerman,30.2832,57.0788,296.07,18,0,2.06,IR,1690415971
229,la'ie,21.6477,-157.9253,304.13,72,32,7.54,US,1690415992
230,xai-xai,-25.0519,33.6442,287.98,80,1,3.93,MZ,1690416113
231,al hudaydah,14.7978,42.9545,305.0,54,53,4.31,YE,1690415939
232,dryden,49.7833,-92.7503,301.31,57,0,3.09,CA,1690416097
233,kerikeri,-35.2268,173.9474,288.1,85,75,0.89,NZ,1690416044
234,cabo san lucas,22.8909,-109.9124,307.93,71,68,2.68,MX,1690416009
235,waddan,29.1614,16.139,305.96,13,0,3.34,LY,1690416116
236,palikir - national government center,6.9248,158.1611,300.66,76,95,3.49,FM,1690416116
237,karimganj,24.8667,92.35,299.09,93,99,0.22,IN,1690416117
238,kolkhozobod,37.5882,68.6589,297.51,16,0,0.79,TJ,1690416117
239,sechura,-5.5569,-80.8222,296.5,69,64,7.78,PE,1690416118
240,cole harbour,44.6724,-63.4751,296.81,83,17,5.66,CA,1690416118
241,egilsstadir,65.2653,-14.3948,280.1,93,100,5.66,IS,1690416112
242,lubang,13.8584,120.124,301.57,83,96,13.75,PH,1690416119
243,lakatoro,-16.0999,167.4164,296.65,73,98,8.19,VU,1690416119
244,carnarvon,-24.8667,113.6333,288.76,56,23,5.29,AU,1690416120
245,sao joao del rei,-21.1356,-44.2617,290.68,71,70,1.63,BR,1690416120
246,machali,-34.1833,-70.6667,281.89,81,100,1.38,CL,1690416092
247,hadibu,12.65,54.0333,298.24,81,32,10.93,YE,1690416121
248,sao joao da barra,-21.6403,-41.0511,296.2,85,30,7.0,BR,1690415881
249,brisas de zicatela,15.8369,-97.0419,302.53,71,10,3.03,MX,1690416122
250,ust'-kulom,61.6864,53.6902,284.95,85,41,1.63,RU,1690416123
251,zhuanghe,39.7008,122.9911,296.82,94,100,2.16,CN,1690416124
252,kuvshinovo,57.0295,34.1725,284.92,96,39,1.91,RU,1690416124
253,iquique,-20.2208,-70.1431,291.17,84,15,0.45,CL,1690416125
254,jamsankoski,61.919,25.1701,287.42,76,100,1.75,FI,1690416126
255,cannonvale,-20.2833,148.7,294.81,65,90,8.6,AU,1690416126
256,nizhnyaya tavda,57.6731,66.1725,287.03,89,10,2.37,RU,1690416127
257,siguiri,11.6667,-9.5,296.16,94,57,1.1,GN,1690416127
258,argostolion,38.1811,20.489,298.5,88,39,4.46,GR,1690416128
259,kasempa,-13.4584,25.8338,287.84,54,2,3.56,ZM,1690416129
260,malanje,-9.5402,16.341,292.3,64,8,1.96,AO,1690416130
261,mount gambier,-37.8333,140.7667,284.29,64,2,5.31,AU,1690416130
262,laguna,38.421,-121.4238,311.23,31,0,7.2,US,1690416130
263,okhotsk,59.3833,143.3,289.26,89,100,1.11,RU,1690416131
264,cruz del eje,-30.7264,-64.8039,286.54,47,89,1.8,AR,1690416131
265,shenjiamen,29.9576,122.298,299.47,88,99,4.56,CN,1690416132
266,adamovka,51.5223,59.9396,292.59,61,47,2.95,RU,1690416133
267,wailua homesteads,22.0669,-159.378,303.59,72,20,6.17,US,1690415973
268,fomboni,-12.28,43.7425,298.51,72,51,6.54,KM,1690416144
269,sagarejo,41.734,45.3315,295.39,65,40,1.05,GE,1690416145
270,muravlenko,63.7898,74.523,291.53,72,29,2.92,RU,1690415977
271,ayvacik,39.6011,26.4047,299.95,37,46,2.65,TR,1690416146
272,vieux-habitants,16.0589,-61.7659,300.91,78,42,5.28,GP,1690416146
273,palmer,42.1584,-72.3287,299.85,69,41,1.34,US,1690416054
274,villa gesell,-37.2639,-56.973,282.62,81,39,10.62,AR,1690416147
275,miri,4.4148,114.0089,298.23,100,20,0.51,MY,1690416148
276,tezu,27.9167,96.1667,298.42,86,100,0.4,IN,1690416149
277,saint-francois,46.4154,3.9054,289.84,72,75,2.06,FR,1690416150
278,kailua-kona,19.6406,-155.9956,303.86,84,16,3.58,US,1690416150
279,carbonear,47.7332,-53.2148,296.06,79,92,5.34,CA,1690416151
280,akjoujt,19.6969,-14.4164,303.1,43,57,6.34,MR,1690416151
281,tangalle,6.024,80.7911,297.84,91,93,4.14,LK,1690416152
282,albany,42.6001,-73.9662,299.58,74,88,0.89,US,1690416089
283,acapulco de juarez,16.8634,-99.8901,304.05,68,29,5.0,MX,1690415913
284,wabag,-5.4781,143.7021,290.88,82,50,1.25,PG,1690416153
285,mufumbwe,-13.6833,24.8,286.46,54,1,2.39,ZM,1690416154
286,iskateley,67.6803,53.1512,290.11,70,92,1.26,RU,1690415980
287,richards bay,-28.783,32.0377,291.23,67,0,8.14,ZA,1690415998
288,yeppoon,-23.1333,150.7333,292.03,75,81,6.82,AU,1690416155
289,amahai,-3.3333,128.9167,299.82,82,58,2.07,ID,1690416155
290,ampanihy,-24.7,44.75,288.64,67,0,5.27,MG,1690416156
291,cuito,-12.3833,16.9333,287.29,41,1,1.01,AO,1690416157
292,guaraniacu,-25.1008,-52.8781,289.41,66,93,1.07,BR,1690415972
293,ponta delgada,37.7333,-25.6667,293.55,77,20,2.57,PT,1690416044
294,ta`u,-14.2336,-169.5144,298.86,72,95,4.92,AS,1690416158
295,koidu,8.4167,-10.8333,295.0,100,99,0.81,SL,1690416158
296,masterton,-40.9597,175.6575,285.31,84,67,5.07,NZ,1690416164
297,porto franco,-6.3383,-47.3992,298.98,40,3,1.16,BR,1690416164
298,caluula,11.9661,50.7569,304.58,50,48,3.39,SO,1690416165
299,neiafu,-18.65,-173.9833,297.53,73,75,2.06,TO,1690416165
300,segou,13.4317,-6.2157,303.18,56,86,4.7,ML,1690416166
301,touros,-5.1989,-35.4608,297.58,85,15,5.88,BR,1690416166
302,dakhla,23.6848,-15.958,293.12,89,0,10.31,EH,1690416167
303,bikenibeu village,1.3673,173.1241,304.13,74,20,2.06,KI,1690416167
304,altamira,-3.2033,-52.2064,299.5,64,51,1.01,BR,1690416103
305,yamada,39.4667,141.95,301.83,64,9,1.4,JP,1690416168
306,buncrana,55.1333,-7.45,288.4,98,100,2.44,IE,1690416169
307,princeville,45.7668,-61.2985,297.21,85,14,1.78,CA,1690416170
308,puerto gaitan,4.3133,-72.0816,299.75,71,52,1.56,CO,1690416143
309,amga,60.8953,131.9608,293.81,56,93,1.57,RU,1690416171
310,novyy urengoy,66.0833,76.6333,293.03,67,61,2.4,RU,1690416172
311,autazes,-3.5797,-59.1306,299.77,53,6,1.22,BR,1690416172
312,grand falls-windsor,48.9332,-55.6649,291.97,93,88,2.3,CA,1690416173
313,uturoa,-16.7333,-151.4333,298.81,84,57,4.45,PF,1690416173
314,rongelap,11.1635,166.8941,301.41,80,99,8.02,MH,1690416174
315,murzuq,25.9155,13.9184,305.24,9,0,4.82,LY,1690416175
316,lompoc,34.6391,-120.4579,304.27,83,100,5.14,US,1690416050
317,qeshm,26.9581,56.2719,306.09,82,100,7.65,IR,1690416176
318,sisimiut,66.9395,-53.6735,279.65,81,41,1.38,GL,1690415998
319,st martin,50.3698,-4.4473,290.3,98,100,9.55,GB,1690416176
320,pokrovsk,48.282,37.1758,293.3,58,4,3.56,UA,1690416177
321,ceeldheer,3.8488,47.1806,297.15,85,89,7.85,SO,1690416177
322,kainantu,-6.2887,145.8655,293.67,68,29,2.1,PG,1690416178
323,fort st. john,56.2499,-120.8529,289.09,82,100,5.66,CA,1690416045
324,ancud,-41.8697,-73.8203,281.17,88,100,1.9,CL,1690416114
325,mampong,7.0627,-1.4001,294.82,99,73,2.04,GH,1690416180
326,whangarei,-35.7317,174.3239,287.44,72,77,4.59,NZ,1690416180
327,sogndal,61.2283,7.1003,286.55,92,90,0.81,NO,1690416181
328,kisangani,0.5167,25.2,296.35,89,100,1.02,CD,1690416182
329,flying fish cove,-10.4217,105.6791,297.96,78,41,8.82,CX,1690416182
330,ghat,24.9647,10.1728,304.55,11,0,0.74,LY,1690416183
331,mount pearl,47.5166,-52.7813,295.34,69,75,8.23,CA,1690416183
332,island harbour,50.724,-1.2758,289.9,95,100,4.47,GB,1690416184
333,kununurra,-15.7667,128.7333,291.14,68,8,0.0,AU,1690416185
334,zilair,52.2332,57.4392,288.62,76,26,1.43,RU,1690416185
335,santa cruz,-17.8,-63.1667,293.18,60,75,5.66,BO,1690415958
336,moquegua,-17.1956,-70.9353,289.19,62,0,0.63,PE,1690416186
337,fort bragg,35.139,-79.006,307.23,71,75,4.63,US,1690415955
338,quellon,-43.1167,-73.6167,281.29,93,100,1.03,CL,1690416094
339,kidodi,-7.6036,37.0044,293.86,67,80,1.03,TZ,1690416188
340,nuuk,64.1835,-51.7216,278.49,100,100,5.66,GL,1690416188
341,at taj,24.2049,23.2857,300.97,14,59,3.13,LY,1690416109
342,gaspe,48.8334,-64.4819,295.27,68,20,2.57,CA,1690416169
343,mar del plata,-38.0023,-57.5575,282.64,87,100,8.05,AR,1690416002
344,kupang,-10.1667,123.5833,297.43,69,59,3.62,ID,1690416190
345,aldan,58.6031,125.3894,295.25,61,22,0.9,RU,1690416190
346,al hazm,16.1641,44.7769,302.92,29,79,3.97,YE,1690416191
347,shingu,33.7333,135.9833,303.46,65,37,2.18,JP,1690415975
348,haiku-pauwela,20.9219,-156.3051,303.8,66,9,5.81,US,1690416127
349,port-gentil,-0.7193,8.7815,296.39,89,75,6.84,GA,1690416192
350,calama,-22.4667,-68.9333,288.42,12,0,6.17,CL,1690416113
351,marquette,46.5333,-87.6335,298.58,82,32,1.34,US,1690416193
352,beilen,52.8611,6.5123,287.5,87,71,3.03,NL,1690416194
353,male,4.1748,73.5089,302.12,89,75,3.09,MV,1690416194
354,howard springs,-12.497,131.047,295.83,29,78,2.77,AU,1690416195
355,sucre,-19.0333,-65.2627,285.43,67,0,2.28,BO,1690416195
356,el galpon,-25.3807,-64.6526,285.63,68,63,0.5,AR,1690416196
357,borovskoy,53.8,64.15,290.72,68,96,2.15,KZ,1690416196
358,atherton,53.5237,-2.4935,288.87,97,100,0.89,GB,1690416197
359,karachev,53.1229,34.9852,290.0,93,69,0.51,RU,1690416198
360,lepsy,46.235,78.9456,298.61,30,0,2.01,KZ,1690416198
361,volcja draga,45.9069,13.6775,288.69,80,8,4.47,SI,1690416199
362,maba,24.6841,113.5984,301.77,77,39,1.6,CN,1690416200
363,udachny,66.4167,112.4,291.18,67,100,4.32,RU,1690415956
364,barra de santo antonio,-9.4047,-35.5072,297.75,79,10,1.91,BR,1690416201
365,alipur,29.3846,70.9116,301.81,80,86,3.51,PK,1690416201
366,kokopo,-4.352,152.2633,301.77,71,36,6.34,PG,1690416202
367,tamala,52.541,43.2515,293.18,71,49,4.11,RU,1690416202
368,port pirie,-33.1833,138.0167,289.57,45,50,4.03,AU,1690416203
369,kwang binh,17.4833,106.6,301.82,74,86,2.93,VN,1690416203
370,navojoa,27.1,-109.4333,309.27,49,66,3.58,MX,1690416203
371,kzyltu,53.6364,72.3414,291.47,82,100,0.97,KZ,1690416204
372,remire-montjoly,4.9167,-52.2667,298.17,100,75,1.03,GF,1690416205
